,cluster
ANKRD45,32
ANKRD52,107
ANKRD54,171
ANKRD55,128
ANKRD6,124
ANKRD61,175
ANKRD62,49
ANKRD65,75
ANKRD7,174
ANKS1A,186
ANKS1B,21
ANKS4B,65
ANKS6,187
ANLN,86
ANO1,142
ANO10,48
ANO2,16
ANO3,26
ANO4,49
ANO5,9
ANO6,48
ANO7,168
ANO8,68
ANO9,61
ANP32A,185
ANP32B,185
ANP32D,49
ANP32E,129
ANPEP,15
ANTKMT,17
ANTXR1,44
ANTXR2,31
ANTXRL,137
ANXA1,2
ANXA10,38
ANXA11,143
ANXA13,131
ANXA2,171
ANXA3,24
ANXA4,175
ANXA5,196
ANXA6,193
ANXA7,65
ANXA8,159
ANXA8L1,183
ANXA9,129
AOC1,97
AOC2,122
AOC3,96
AOPEP,67
AOX1,174
AP1B1,148
AP1G1,148
AP1G2,121
AP1M1,148
AP1M2,148
AP1S1,189
AP1S2,51
AP1S3,141
AP2A1,106
AP2A2,69
AP2B1,106
AP2M1,106
AP2S1,106
AP3B1,148
AP3B2,60
AP3M1,171
AP3M2,134
AP3S1,156
AP3S2,38
AP4B1,154
AP4E1,24
AP4M1,64
AP4S1,24
AP5Z1,74
APBA1,169
APBA2,185
APBA3,177
APBB1,63
APBB1IP,37
APBB2,177
APBB3,193
APC,90
APC2,56
APCDD1,48
APCDD1L,178
APCS,36
APEH,196
APEX1,8
APEX2,83
APH1A,29
APH1B,193
APLNR,170
APLP1,120
APLP2,79
APOA1,79
APOA4,74
APOA5,58
APOBEC1,199
APOBEC2,144
APOBEC3A,50
APOBEC3B,6
APOBEC3C,5
APOBEC3D,70
APOBEC3G,145
APOBEC3H,54
APOE,35
APOH,9
APOL1,145
APOL2,127
APOL3,38
APOL5,144
APOL6,178
APOLD1,179
APOO,199
APOOL,26
APP,11
APPBP2,198
APPL1,27
APPL2,11
APTX,139
AQP1,69
AQP10,129
AQP11,68
AQP12B,179
AQP2,167
AQP3,22
AQP4,173
AQP5,55
AQP6,19
AQP7,18
AQP8,144
AQP9,34
AQR,12
AR,38
ARAF,177
ARAP1,130
ARAP2,30
ARAP3,64
AREG,42
AREL1,171
ARF1,159
ARF3,16
ARF4,150
ARF5,127
ARF6,116
ARFGAP1,58
ARFGAP2,177
ARFGAP3,67
ARFGEF1,9
ARFGEF2,64
ARFIP1,65
ARFIP2,14
ARFRP1,147
ARG1,70
ARG2,11
ARGFX,138
ARHGAP1,198
ARHGAP10,200
ARHGAP11A,6
ARHGAP12,66
ARHGAP15,43
ARHGAP17,198
ARHGAP18,200
ARHGAP19,44
ARHGAP20,79
ARHGAP21,105
ARHGAP22,185
ARHGAP23,123
