,cluster
ELFN1,55
ELFN2,55
ELK1,167
ELK3,139
ELK4,62
ELL,89
ELL2,37
ELL3,127
ELMO1,113
ELMO2,152
ELMO3,159
ELMOD1,30
ELMOD2,155
ELMOD3,127
ELOA,115
ELOA2,29
ELOVL1,149
ELOVL2,141
ELOVL3,187
ELOVL4,37
ELOVL5,31
ELOVL6,37
ELOVL7,39
ELSPBP1,155
EMB,30
EMC8,84
EMC9,121
EME1,180
EME2,67
EMID1,144
EMILIN1,3
EMILIN2,98
EMILIN3,4
EML1,61
EML2,128
EML3,119
EML4,32
EML5,60
EML6,165
EMP1,68
EMP2,178
EMP3,43
EMX1,189
EMX2,21
EN1,26
EN2,169
ENAH,36
ENC1,105
ENDOG,53
ENG,182
ENKD1,164
ENKUR,199
ENO1,99
ENO2,174
ENO3,177
ENOX1,142
ENOX2,64
ENPEP,65
ENPP1,68
ENPP2,131
ENPP3,48
ENPP4,44
ENPP5,30
ENPP6,5
ENPP7,190
ENSA,129
ENTHD1,34
ENTPD1,171
ENTPD2,145
ENTPD3,167
ENTPD4,35
ENTPD5,155
ENTPD6,185
ENTPD7,96
ENTPD8,141
ENTREP1,30
ENTREP2,16
ENTREP3,180
EOGT,192
EOLA1,178
EOLA2,197
EOMES,44
EP300,115
EP400,74
EPAS1,124
EPB41,15
EPB41L1,67
EPB41L2,23
EPB41L3,170
EPB41L4A,8
EPB41L4B,44
EPB41L5,49
EPB42,137
EPC1,162
EPC2,162
EPCAM,50
EPG5,107
EPGN,165
EPHA1,186
EPHA10,185
EPHA2,115
EPHA3,157
EPHA4,64
EPHA5,4
EPHA6,24
EPHA7,189
EPHA8,169
EPHB1,124
EPHB2,55
EPHB3,187
EPHB4,68
EPHB6,167
EPHX2,67
EPHX3,170
EPHX4,154
EPM2A,67
EPM2AIP1,10
EPN1,179
EPN2,53
EPN3,200
EPOP,122
EPOR,170
EPPIN,32
EPRS1,101
EPS15,142
EPS15L1,37
EPS8,62
EPS8L1,58
EPS8L2,193
EPS8L3,153
EPX,136
EPYC,196
ERAL1,72
ERAP1,142
ERAP2,26
ERAS,180
ERBB2,160
ERBB3,160
ERBB4,9
ERBIN,128
ERC1,77
ERC2,124
ERCC2,99
ERCC5,7
ERCC6,137
ERCC6L,162
ERCC8,128
EREG,124
ERF,65
ERG,191
ERGIC1,168
ERGIC2,164
ERGIC3,198
ERI1,48
ERI2,31
ERI3,167
ERICH6,3
ERICH6B,48
ERLEC1,38
ERLIN1,29
ERLIN2,134
ERMAP,55
ERMN,171
ERN1,50
ERN2,144
ERO1A,31
ERO1B,31
ERP27,187
ERP44,28
ERV3-1,96
ERVFRD-1,23
ERVW-1,125
ESAM,79
ESCO1,165
ESCO2,162
ESPN,197
ESPNL,78
ESR1,160
ESR2,124
ESRP1,50
ESRP2,155
ESRRA,185
ESRRB,68
ESRRG,191
ESX1,174
ESYT1,7
ESYT2,169
ESYT3,132
ETFBKMT,164
ETHE1,180
ETNK2,66
ETNPPL,4
ETS1,98
ETS2,53
ETV1,4
ETV2,120
ETV3,33
ETV3L,173
ETV4,155
ETV5,172
ETV6,85
ETV7,178
EVA1A,173
EVA1B,179
EVA1C,70
EVC,55
EVC2,191
EVI5,154
EVI5L,191
EVL,89
EVPL,58
EVPLL,138
EVX1,35
EVX2,30
EWSR1,85
EXD1,155
EXD2,42
EXD3,78
EXO1,83
EXOC1,86
EXOC3,86
EXOC3L1,178
EXOC3L2,174
EXOC3L4,168
EXOC6,113
EXOC6B,26
EXOG,178
EXOSC10,100
EXOSC2,102
EXOSC3,102
EXOSC4,102
EXOSC5,102
EXOSC6,102
EXOSC7,102
EXOSC8,100
EXOSC9,194
EXT1,151
EXT2,151
EXTL1,185
EXTL2,154
EXTL3,151
EYA1,20
EYA2,11
EYA3,46
EYA4,47
EYS,24
EZH1,144
EZH2,115
EZR,175
F10,173
F11,98
F11R,158
F12,64
F13A1,172
F13B,164
F2,177
F2R,128
F2RL1,198
F2RL2,177
F2RL3,188
F3,19
F5,44
F7,77
F8,62
F9,54
FAAH,62
FAAH2,20
FABP1,125
FABP12,34
FABP2,30
FABP3,8
FABP4,70
FABP6,179
FABP7,26
FADS1,166
FADS2,125
FADS3,125
FADS6,174
FAF1,82
FAF2,146
FAH,199
FAHD1,68
FAHD2A,183
FAHD2B,180
FAIM2,188
FAM107A,196
FAM107B,39
FAM110A,26
FAM110B,18
FAM110C,69
FAM110D,61
FAM111A,24
FAM111B,31
FAM114A1,1
FAM114A2,44
FAM117A,67
FAM117B,60
FAM118A,88
FAM118B,79
FAM120A,132
FAM120B,70
FAM120C,178
FAM124A,170
FAM124B,65
FAM131A,197
FAM131B,168
FAM131C,175
FAM133A,24
FAM133B,183
FAM135A,125
FAM135B,60
FAM13A,138
FAM13B,157
FAM13C,137
FAM149A,74
FAM149B1,180
FAM151A,175
FAM151B,49
FAM153A,59
FAM161A,128
FAM161B,184
FAM162A,37
FAM162B,69
FAM167A,63
FAM167B,67
FAM168A,50
FAM168B,64
FAM171A1,173
FAM171A2,173
FAM171B,30
FAM177A1,178
FAM177B,51
FAM178B,133
FAM180A,60
FAM181A,26
FAM181B,67
FAM184A,43
FAM184B,68
FAM187B,120
FAM193A,140
FAM193B,61
FAM200A,24
FAM200B,32
FAM200C,132
FAM209A,197
FAM209B,94
FAM20A,39
FAM20B,151
FAM20C,199
FAM210A,71
FAM210B,11
FAM216A,8
FAM216B,48
FAM217A,37
FAM217B,46
FAM219A,139
FAM219B,98
FAM221A,144
FAM221B,176
FAM222A,63
FAM222B,123
FAM228A,29
FAM229A,49
FAM229B,179
FAM234A,60
FAM234B,116
FAM241A,41
FAM241B,42
FAM24A,3
FAM24B,41
FAM25A,200
FAM3A,150
FAM3B,155
FAM3C,46
FAM3D,187
FAM43A,77
FAM43B,55
FAM47A,89
FAM47B,36
FAM47C,9
FAM47E,41
FAM50A,85
FAM50B,167
FAM53A,60
FAM53B,60
FAM53C,37
FAM76A,37
FAM76B,157
FAM78A,174
FAM78B,174
FAM81A,47
FAM81B,165
FAM83A,131
FAM83B,49
FAM83C,135
FAM83D,159
FAM83E,185
FAM83F,54
FAM83G,49
FAM83H,159
FAM86B2,65
FAM89A,58
FAM89B,119
FAM98A,200
FAM98B,99
FAM98C,120
FAM9A,6
FAM9B,37
FAM9C,17
FAP,124
FAR1,113
FAR2,164
FARP1,184
FARP2,141
FARS2,72
FARSA,101
FARSB,101
FAS,143
FASLG,1
FASN,38
FASTK,171
FASTKD1,124
FASTKD2,53
FASTKD3,44
FASTKD5,72
FAT1,168
FAT2,70
FAT4,189
FAXC,3
FAXDC2,199
FBL,194
FBLIM1,183
FBLN1,98
FBLN2,7
FBLN5,174
FBLN7,133
FBN1,139
FBN2,49
FBN3,140
FBP1,137
FBP2,137
FBRSL1,78
FBXL13,128
FBXL14,190
FBXL15,199
FBXL16,78
FBXL17,140
FBXL18,61
FBXL19,180
FBXL2,47
FBXL20,39
FBXL22,190
FBXL3,200
FBXL4,28
FBXL5,63
FBXL6,76
FBXL7,18
FBXO10,64
FBXO11,116
FBXO15,170
FBXO16,155
FBXO17,68
FBXO2,69
FBXO24,66
FBXO25,28
FBXO27,120
FBXO3,140
FBXO30,51
FBXO31,67
FBXO32,125
FBXO34,189
FBXO36,60
FBXO39,132
FBXO40,15
FBXO41,22
FBXO42,162
FBXO43,11
FBXO44,8
FBXO45,64
FBXO46,53
FBXO5,12
FBXO6,8
FBXO8,98
FBXW10,155
FBXW10B,5
FBXW11,36
FBXW12,15
FBXW5,69
FBXW7,109
FBXW8,170
FBXW9,199
FCAMR,63
FCAR,58
FCER1A,47
FCER2,24
FCF1,59
FCGR2A,59
FCGR2B,94
FCGR3A,94
FCGR3B,40
FCGRT,199
FCHO1,113
FCHO2,106
FCHSD1,190
FCHSD2,130
FCMR,182
FCN1,19
FCN2,60
FCN3,175
FCRL1,173
FCRL2,132
FCRL3,125
FCRL4,31
FCRL5,180
FCRL6,52
FCRLA,178
FCRLB,21
FDX1,72
FDX2,83
FDXACB1,79
FDXR,99
FEM1A,185
FEM1B,48
FEM1C,200
FEN1,99
FER,38
FER1L6,131
FERD3L,170
FERMT1,104
FERMT2,152
FERMT3,119
FES,197
FETUB,164
FEV,4
FEZ1,79
FEZ2,69
FEZF1,2
FEZF2,191
FFAR1,120
FFAR2,120
FFAR4,167
FGA,30
FGB,55
FGD1,180
FGD2,166
FGD3,18
FGD4,4
FGD5,142
FGD6,11
FGF1,36
FGF10,138
FGF11,49
FGF12,2
FGF13,4
FGF14,61
FGF17,22
FGF18,66
FGF19,119
FGF2,69
FGF20,3
FGF21,96
FGF22,56
FGF23,70
FGF3,119
FGF4,119
FGF5,139
FGF6,61
FGF7,2
FGF8,166
FGF9,3
FGFBP1,181
FGFBP2,175
FGFBP3,11
FGFR1,151
FGFR1OP2,152
FGFR2,142
FGFR3,140
FGFR4,182
FGFRL1,74
FGG,6
FGGY,44
FGL1,9
FGL2,164
FGR,65
FH,113
FHDC1,68
FHIP1A,58
FHIP1B,19
FHIP2A,37
FHIP2B,159
FHIT,9
FHL1,11
FHL2,105
FHL3,31
FHL5,31
FHOD1,190
FHOD3,185
FIBCD1,174
FIG4,159
FIGLA,189
FIGN,51
FIGNL1,11
FILIP1,140
FILIP1L,24
FITM1,121
FITM2,103
FIZ1,141
FKBP10,122
FKBP11,9
FKBP14,165
FKBP15,29
FKBP1A,38
FKBP1B,191
FKBP2,119
FKBP3,44
FKBP4,61
FKBP5,24
FKBP7,28
FKBP8,125
FKBP9,138
FKBPL,99
FLG,89
FLG2,34
FLI1,85
FLII,108
FLNA,168
FLNB,178
FLNC,166
FLOT1,187
FLOT2,123
FLRT1,119
FLRT2,55
FLRT3,40
FLT1,9
FLT3,63
FLT4,74
FLVCR1,113
FLVCR2,32
FLYWCH1,89
FLYWCH2,185
FMN2,58
FMNL1,132
FMNL2,139
FMNL3,7
FMO1,182
FMO2,51
FMO3,42
FMO4,49
FMO5,29
FMOD,8
FMR1,31
FN1,55
FN3K,3
FN3KRP,200
FNBP1,23
FNBP1L,30
FNBP4,128
FNDC1,74
FNDC3A,87
FNDC3B,67
FNDC4,199
FNDC5,184
FNDC7,154
FNIP1,113
FNIP2,54
FNTA,99
FNTB,99
FOLH1,23
FOLR1,130
FOS,21
FOSB,143
FOSL1,152
FOSL2,181
FOXA1,160
FOXA2,104
FOXA3,5
FOXB1,174
FOXB2,186
FOXC1,58
FOXC2,60
FOXD2,174
FOXD3,18
FOXD4,194
FOXD4L5,53
FOXE1,22
FOXE3,167
FOXF1,85
FOXF2,10
FOXG1,68
FOXH1,179
FOXI1,63
FOXI2,61
FOXJ1,169
FOXJ2,178
FOXJ3,11
FOXK1,149
FOXK2,73
FOXL1,166
FOXL2,17
FOXM1,12
FOXN1,123
FOXN2,59
FOXN3,60
FOXN4,181
FOXO1,113
FOXO3,18
FOXO4,139
FOXP1,189
FOXP2,16
FOXP3,180
FOXP4,50
FOXQ1,85
FOXR1,79
FOXR2,155
FOXRED1,72
FOXRED2,139
FOXS1,135
FPR1,36
FPR2,36
FPR3,3
FRA10AC1,67
FRAS1,175
FRAT1,67
FRAT2,67
FREM1,74
FREM2,173
FREM3,170
FRG2B,59
FRG2C,66
FRK,30
FRMD3,156
FRMD4A,4
FRMD4B,34
FRMD5,1
FRMD6,105
FRMD7,5
FRMD8,166
FRMPD1,5
FRMPD2,137
FRMPD4,54
FRRS1L,35
FRS2,151
FRS3,138
FRY,36
FRYL,105
FRZB,175
FSCN1,61
FSCN2,74
FSCN3,38
FSD1,48
FSD1L,156
FSD2,35
FSHB,40
FSHR,27
FST,128
FSTL1,68
FSTL3,69
FSTL4,191
FSTL5,68
FTCD,61
FTH1,194
FTHL17,60
FTL,68
FTMT,187
FTSJ1,89
FTSJ3,53
FUBP1,165
FUBP3,30
FUCA1,190
FUCA2,66
FUNDC1,96
FUNDC2,54
FURIN,91
FUS,110
FUT1,185
FUT10,66
FUT11,54
FUT2,182
FUT3,11
FUT4,41
FUT5,89
FUT6,170
FUT7,61
FUT9,24
FXR1,9
FXR2,9
FXYD1,64
FXYD2,96
FXYD3,120
FXYD4,155
FXYD5,173
FXYD6,96
FXYD7,174
FYB1,1
FYB2,36
FYCO1,172
FYN,4
FZD1,68
FZD10,170
FZD2,175
FZD3,38
FZD4,130
FZD5,58
FZD6,47
FZD7,17
FZD8,172
FZD9,140
FZR1,162
G2E3,157
G3BP1,159
G3BP2,5
G6PC1,23
G6PC2,189
G6PC3,26
G6PD,110
GAA,74
GAB1,159
GAB2,116
GAB3,68
GAB4,35
GABARAP,52
GABARAPL1,166
GABARAPL2,8
GABBR1,62
GABBR2,53
GABPA,84
GABPB1,84
GABPB2,129
GABRA1,28
GABRA2,24
GABRA3,186
GABRA4,24
GABRA5,137
GABRA6,29
GABRB1,188
GABRB2,42
GABRB3,43
GABRD,168
GABRE,188
GABRG1,24
GABRG2,42
GABRG3,43
GABRP,124
GABRQ,182
GABRR1,54
GABRR2,189
GAD1,54
GAD2,167
GADD45A,139
GADD45B,118
GADD45G,174
GADL1,23
GAGE12H,172
GAK,107
GAL3ST1,21
GAL3ST2,78
GAL3ST3,189
GAL3ST4,30
GALE,111
GALK1,78
GALK2,28
GALNS,96
GALNT1,66
GALNT10,63
GALNT11,97
GALNT12,157
GALNT13,2
GALNT14,48
GALNT15,170
GALNT16,178
GALNT17,124
GALNT18,184
GALNT2,60
GALNT3,172
GALNT4,10
GALNT5,155
GALNT6,188
GALNT7,70
GALNT8,7
GALNT9,168
GALNTL5,94
GALNTL6,141
GALR1,169
GALR2,58
GALR3,68
GAN,38
GANAB,150
GANC,36
GAP43,55
GAPDH,99
GAPDHS,120
GAPVD1,113
GAREM1,21
GAREM2,168
GARIN1A,173
GARIN1B,31
GARIN2,47
GARIN3,141
GARIN4,77
GARIN5A,68
GARIN6,1
GARNL3,46
GARS1,197
GAS2,27
GAS2L1,175
GAS2L2,123
GAS2L3,172
GAS6,77
GAS7,16
GASK1A,139
GASK1B,66
GATA1,116
GATA2,92
GATA3,92
GATA4,185
GATA5,55
GATA6,104
GATAD2A,135
GATAD2B,90
GBE1,26
GBF1,13
GBGT1,68
GBP1,193
GBP2,53
GBP3,125
GBP4,30
GBP5,154
GBP6,30
GBP7,28
GBX1,169
GBX2,4
GC,127
GCA,23
GCAT,67
GCC1,64
GCC2,68
GCDH,11
GCFC2,11
GCGR,73
GCK,140
GCM1,173
GCM2,142
GCN1,108
GCNT1,15
GCNT2,15
GCNT3,35
GCNT4,1
GCSAM,157
GCSAML,6
GDAP1,144
GDAP1L1,191
GDAP2,154
GDE1,178
GDF1,135
GDF10,191
GDF11,187
GDF15,68
GDF2,137
GDF3,37
GDF5,177
GDF6,61
GDF7,191
GDF9,189
GDI1,169
GDI2,113
GDNF,192
GDPD1,157
GDPD2,172
GDPD3,180
GDPD4,4
GDPD5,130
GEM,174
GEMIN5,101
GEN1,83
GET1,99
GFAP,128
GFI1,115
GFI1B,70
GFM1,72
GFM2,72
GFOD1,41
GFOD2,5
GFPT1,111
GFPT2,74
GFRA1,142
GFRA2,182
GFRA3,184
GFRA4,67
GFRAL,189
GFUS,141
GGA1,128
GGA2,42
GGA3,54
GGN,120
GGPS1,99
GGT5,18
GGT6,179
GGT7,132
GGTLC1,185
GGTLC2,183
GH1,59
GH2,59
GHITM,31
GHR,31
GHRH,125
GHRHR,23
GHSR,179
GID8,161
GIGYF1,191
GIGYF2,113
GIMAP1,97
GIMAP2,57
GIMAP4,57
GIMAP5,97
GIMAP6,97
GIMAP7,57
GIMAP8,97
GIPC1,68
GIPC2,26
GIPC3,178
GIPR,68
GIT1,123
GIT2,21
GJA1,52
GJA10,24
GJA3,194
GJA4,140
GJA5,129
GJA8,167
GJA9,66
GJB1,61
GJB2,128
GJB3,140
GJB4,179
GJB5,140
GJB6,128
GJB7,140
GJC1,92
GJC2,17
GJC3,126
GJD2,140
GJD3,18
GJD4,184
GK2,24
GK5,36
GKN1,193
GKN2,22
GLA,192
GLB1,47
GLB1L,98
GLB1L2,79
GLB1L3,79
GLCCI1,167
GLDN,70
GLI1,195
GLI2,142
GLI3,3
GLI4,76
GLIPR1,11
GLIPR1L1,165
GLIPR1L2,166
GLIPR2,176
GLIS1,170
GLIS2,200
GLIS3,69
GLO1,44
GLOD4,98
GLOD5,27
GLP1R,180
GLP2R,144
GLRA1,124
GLRA2,28
GLRA3,5
GLRB,10
GLRX2,44
GLRX3,83
GLRX5,72
GLS,110
GLS2,187
GLT1D1,26
GLT6D1,182
GLT8D1,139
GLT8D2,17
GLTP,175
GLTPD2,32
GLUD1,68
GLUD2,94
GLUL,108
GLYAT,49
GLYATL1,32
GLYATL2,37
GLYATL3,47
GLYR1,4
GMCL1,164
GMDS,198
GMEB1,89
GMEB2,89
GMFB,165
GMFG,120
GMIP,135
GML,96
GMNC,54
GMNN,12
GMPPA,18
GMPPB,111
GMPR,41
GMPR2,39
GNA11,149
GNA12,74
GNA13,149
GNA14,186
GNA15,190
GNAI1,27
GNAI2,159
GNAI3,159
GNAL,7
GNAO1,7
GNAQ,138
GNAS,58
GNAT1,171
GNAT2,153
GNAT3,43
GNAZ,170
GNB1,128
GNB1L,99
GNB2,149
GNB3,185
GNB4,36
GNB5,180
GNG10,200
GNG11,40
GNG12,200
GNG2,14
GNG3,16
GNG4,179
GNG5,115
GNG7,10
GNG8,182
GNGT1,2
GNGT2,180
GNL1,82
GNL2,100
GNL3,100
GNL3L,136
GNPAT,113
GNPDA1,139
GNPDA2,32
GNPTG,60
GNRH1,6
GNRH2,179
GNRHR,171
GNS,185
GOLGA1,164
GOLGA2,171
GOLGA3,78
GOLGA6B,59
GOLGA6D,59
GOLGA6L6,16
GOLGA7,108
GOLGA7B,49
GOLGA8M,125
GOLGA8N,16
GOLGA8R,59
GOLM1,10
GOLM2,139
GOLPH3,200
GOLPH3L,31
GOLT1A,174
GOLT1B,101
GON4L,86
GORASP1,34
GORASP2,198
GOSR2,13
GOT1,64
GOT1L1,134
GOT2,108
GP1BA,38
GP1BB,163
GP2,7
GP5,58
GP6,58
GP9,185
GPA33,21
GPAM,1
GPAT2,183
GPAT3,64
GPAT4,38
GPATCH2,29
GPATCH2L,172
GPATCH8,140
GPBP1,88
GPBP1L1,37
GPC1,78
GPC2,126
GPC3,188
GPC4,55
GPC5,143
GPC6,187
GPD1,137
GPD1L,198
GPER1,168
GPIHBP1,179
GPM6A,35
GPM6B,70
GPN1,6
GPN2,102
GPN3,194
GPNMB,175
GPR101,166
GPR107,113
GPR108,63
GPR119,21
GPR12,139
GPR132,199
GPR135,68
GPR137,185
GPR137B,74
GPR137C,157
GPR139,24
GPR141,42
GPR142,182
GPR146,20
GPR148,178
GPR149,189
GPR15,193
GPR150,169
GPR151,132
GPR152,119
GPR153,75
GPR155,65
GPR156,187
GPR157,75
GPR158,67
GPR161,192
GPR162,175
GPR17,189
GPR171,157
GPR173,18
GPR174,2
GPR176,65
GPR179,123
GPR18,3
GPR180,190
GPR182,173
GPR183,96
GPR19,125
GPR20,199
GPR21,37
GPR22,31
GPR25,197
GPR26,61
GPR27,169
GPR3,175
GPR31,182
GPR32,182
GPR34,15
GPR35,78
GPR37,165
GPR37L1,187
GPR39,166
GPR4,55
GPR45,133
GPR50,169
GPR52,24
GPR55,175
GPR6,125
GPR61,153
GPR62,61
GPR63,29
GPR65,11
GPR68,168
GPR75,11
GPR78,169
GPR82,11
GPR83,67
GPR84,22
GPR85,12
GPR87,32
GPR88,140
GPRASP1,197
GPRC5A,175
GPRC5B,177
GPRC5C,182
GPRC5D,186
GPRC6A,43
GPRIN2,180
GPRIN3,184
GPS1,109
GPSM1,55
GPSM2,154
GPSM3,37
GPT,60
GPT2,157
GPX1,174
GPX2,193
GPX3,174
GPX4,85
GPX5,5
GPX6,174
GPX7,177
GPX8,9
GRAMD1A,173
GRAMD1B,79
GRAMD1C,29
GRAMD2A,62
GRAMD2B,28
GRAP2,1
GRB10,34
GRB14,26
GRB2,159
GRB7,172
GREB1,172
GREB1L,166
GREM1,188
GREM2,55
GRHL1,96
GRHL2,104
GRHL3,170
GRHPR,191
GRIA1,60
GRIA2,48
GRIA3,167
GRIA4,42
GRID1,174
GRID2,136
GRID2IP,74
GRIK1,24
GRIK2,190
GRIK3,128
GRIK4,79
GRIK5,177
GRIN1,191
GRIN2A,174
GRIN2B,174
GRIN2C,74
GRIN2D,185
GRIN3A,174
GRIN3B,56
GRINA,76
GRIP1,68
GRK2,104
GRK3,157
GRK4,65
GRK5,47
GRK6,116
GRK7,125
GRM1,171
GRM2,189
GRM3,124
GRM4,132
GRM5,143
GRM6,98
GRM7,57
GRM8,184
GRP,170
GRPEL1,42
GRPEL2,6
GRPR,36
GRSF1,72
GRTP1,77
GRWD1,100
GRXCR1,143
GRXCR2,30
GSC,166
GSC2,35
GSDMA,122
GSDMB,122
GSDMC,23
GSDMD,76
GSG1,193
GSG1L,21
GSK3A,108
GSK3B,108
GSN,188
GSPT1,160
GSPT2,55
GSR,42
GSTA1,94
GSTA2,94
GSTA3,189
GSTA4,66
GSTA5,32
GSTM1,191
GSTM2,154
GSTM3,154
GSTM4,153
GSTM5,153
GSTO1,164
GSTO2,89
GSTP1,119
GSTT2B,191
GSTZ1,38
GSX1,134
GSX2,171
GTF2A1,86
GTF2A1L,24
GTF2B,13
GTF2I,178
GTF2IRD1,126
GTF3A,2
GTPBP1,132
GTPBP10,72
GTPBP2,132
GTPBP3,110
GTPBP4,100
GTSE1,107
GTSF1,11
GTSF1L,49
GUCA1B,41
GUCA1C,31
GUCA2A,171
GUCA2B,55
GUCY1A1,139
GUCY1A2,79
GUCY1B1,41
GUCY2C,11
GUCY2D,18
GUCY2F,124
GUF1,9
GULP1,31
GUSB,126
GXYLT1,37
GXYLT2,189
GYG1,143
GYG2,74
GYPA,1
GYPE,59
GYS1,178
GYS2,189
GZF1,192
GZMA,43
GZMB,121
GZMH,125
GZMK,174
GZMM,56
H1-0,67
H1-1,44
H1-10,196
H1-2,80
H1-3,80
H1-4,80
H1-5,80
H1-6,68
H1-7,181
H1-8,170
H2AC1,60
H2AC11,80
H2AC12,80
H2AC15,197
H2AC16,80
H2AC17,80
H2AC20,129
H2AC21,129
H2AC25,6
H2AC4,80
H2AC6,80
H2AC7,80
H2AC8,80
H2AJ,199
H2AX,83
H2AZ1,87
H2AZ2,197
H2BC1,5
H2BC10,80
H2BC11,80
H2BC13,80
H2BC14,80
H2BC15,197
H2BC17,80
H2BC18,129
H2BC21,129
H2BC26,89
H2BC3,80
H2BC4,80
H2BC5,80
H2BC6,80
H2BC7,80
H2BC8,80
H2BC9,80
H2BW1,187
H2BW2,193
H3-3A,183
H3-3B,74
H3-4,96
H3-5,164
H3C1,80
H3C10,80
H3C11,80
H3C12,54
H3C2,80
H3C3,80
H3C4,80
H3C6,10
H3C7,80
H3C8,80
H4C1,80
H4C13,54
H4C16,74
H4C2,80
H4C3,80
H4C4,80
H4C5,80
H4C6,63
H4C7,30
H4C8,2
H4C9,180
H6PD,75
HABP2,70
HABP4,53
HACD1,74
HACD2,99
HACD3,31
HACD4,93
HACE1,30
HACL1,178
HADH,171
HADHA,185
HADHB,187
HAGH,165
HAGHL,78
HAND1,55
HAND2,92
HAO1,173
HAO2,153
HAP1,122
HAPLN1,23
HAPLN2,129
HAPLN3,175
HAPLN4,135
HAPSTR1,87
HARS1,89
HARS2,72
HAS1,191
HAS2,31
HAS3,132
HASPIN,162
HAVCR1,168
HAVCR2,156
HBB,70
HBD,94
HBE1,199
HBEGF,193
HBM,54
HBQ1,78
HBS1L,110
HBZ,78
HCAR1,36
HCAR2,94
HCAR3,94
HCFC1,6
HCFC2,11
HCK,140
HCLS1,51
HCN1,124
HCN2,179
HCN3,187
HCN4,174
HCRTR1,175
HCRTR2,173
HDAC1,198
HDAC10,98
HDAC11,60
HDAC2,92
HDAC3,109
HDAC4,70
HDAC5,169
HDAC6,5
HDAC7,116
HDAC8,114
HDAC9,48
HDC,180
HDGF,180
HDGFL1,170
HDGFL2,178
HDGFL3,47
HDHD2,2
HDHD3,53
HDHD5,144
HDLBP,98
HDX,30
HEATR5B,148
HEBP1,182
HEBP2,61
HECTD1,160
HECTD2,68
HECW1,142
HECW2,55
HELB,9
HELLS,44
HELQ,192
HELT,98
HELZ,170
HELZ2,17
HEMK1,140
HEMK2,99
HEPACAM,79
HEPACAM2,188
HEPH,138
HEPHL1,174
HERC1,139
HERC2,53
HERC3,178
HERC4,48
HERC5,198
HERC6,187
HERPUD1,146
HERPUD2,157
HES1,77
HES2,61
HES3,75
HES4,75
HES5,89
HES6,179
HES7,157
HESX1,32
HEXA,68
HEXB,46
HEXIM1,109
HEXIM2,180
HEY1,175
HEY2,19
HEYL,42
HFE,144
HFM1,1
HGF,38
HGFAC,185
HGS,107
HHAT,96
HHATL,193
HHIP,35
HHIPL1,61
HHIPL2,58
HHLA2,7
HIBADH,30
HIBCH,38
HIC1,16
HIC2,163
HIF1A,11
HIF1AN,88
HIF3A,42
HIGD1A,23
HIGD1B,10
HIGD1C,29
HIGD2A,72
HINT1,48
HINT2,67
HINT3,50
HIP1,126
HIP1R,175
HIPK1,154
HIPK3,41
HIPK4,120
HIVEP1,109
HIVEP2,108
HIVEP3,34
HJV,129
HK1,1
HK2,118
HK3,61
HKDC1,35
HLA-A,17
HLA-B,17
HLA-C,17
HLA-DMA,23
HLA-DMB,132
HLA-DOA,166
HLA-DOB,88
HLA-DPA1,166
HLA-DPB1,140
HLA-DQA1,40
HLA-DQA2,7
HLA-DQB1,40
HLA-DQB2,55
HLA-DRA,174
HLA-DRB1,40
HLA-DRB5,40
HLA-E,11
HLA-F,172
HLA-G,17
HLF,199
HLTF,51
HLX,60
HM13,135
HMCN1,142
HMG20A,87
HMG20B,68
HMGB1,183
HMGB2,70
HMGB4,30
HMGCL,156
HMGCLL1,49
HMGCS1,111
HMGCS2,154
HMGN1,180
HMGN2,181
HMGN3,34
HMGN4,26
HMGXB4,36
HMOX1,155
HMOX2,200
HMSD,29
HMX1,132
HMX2,98
HMX3,98
HNF1A,104
HNF1B,158
HNF4A,8
HNF4G,159
HNRNPA0,164
HNRNPA1,42
HNRNPA1L2,156
HNRNPA2B1,83
HNRNPA3,34
HNRNPAB,110
HNRNPC,88
HNRNPD,110
HNRNPDL,3
HNRNPF,109
HNRNPH1,85
HNRNPH2,14
HNRNPH3,28
HNRNPK,6
HNRNPL,124
HNRNPLL,171
HNRNPM,37
HNRNPR,175
HNRNPU,41
HNRNPUL1,110
HNRNPUL2,16
HOATZ,79
HOGA1,179
HOMER1,38
HOMER2,181
HOMER3,135
HOMEZ,121
HOOK1,44
HOOK2,68
HOOK3,35
HORMAD1,129
HORMAD2,139
HOXA1,132
HOXA10,174
HOXA11,11
HOXA13,170
HOXA2,187
HOXA3,65
HOXA4,54
HOXA5,170
HOXA6,181
HOXA7,143
HOXA9,142
HOXB1,173
HOXB13,69
HOXB2,7
HOXB3,35
HOXB4,7
HOXB5,7
HOXB6,8
HOXB7,7
HOXB8,9
HOXB9,26
HOXC10,136
HOXC11,136
HOXC12,21
HOXC13,41
HOXC4,136
HOXC5,65
HOXC6,136
HOXC8,65
HOXC9,7
HOXD1,68
HOXD10,14
HOXD11,165
HOXD12,4
HOXD13,197
HOXD3,138
HOXD4,55
HOXD8,26
HOXD9,165
HPCA,166
HPCAL1,61
HPCAL4,128
HPD,77
HPDL,74
HPGDS,6
HPN,53
HPR,41
HPRT1,175
HPS5,26
HPSE,127
HPSE2,15
HPX,144
HR,144
HRAS,60
HRG,77
HRH1,169
HRH2,74
HRH3,53
HRH4,128
HRNR,191
HS2ST1,151
HS3ST1,169
HS3ST2,10
HS3ST3A1,39
HS3ST3B1,67
